y_true,y_pred,y_prob
1,1,0.9776579141616821
0,0,0.00010762907186290249
0,0,0.00021333152835723013
0,0,0.00010266045137541369
0,0,1.717077975627035e-05
0,0,0.050874873995780945
0,0,4.7709028876852244e-05
1,1,0.9944049119949341
0,0,1.6941921785473824e-05
0,0,0.010565991513431072
0,0,4.77116227557417e-05
0,0,1.6789508663350716e-05
1,1,0.9965888261795044
0,0,0.0016580445226281881
0,0,0.1610124260187149
0,0,0.38815319538116455
0,0,0.005403436720371246
0,0,0.007110574282705784
0,0,0.0003502844483591616
0,0,0.01489325426518917
1,1,0.8175011277198792
0,0,0.08602403104305267
0,0,4.771198655362241e-05
1,1,0.9736390113830566
0,0,0.004647068213671446
1,1,0.9685394167900085
0,0,4.771153180627152e-05
1,1,0.9795992374420166
0,0,4.7712394007248804e-05
0,0,0.0061430418863892555
0,0,0.0012721894308924675
0,0,0.1969967931509018
1,1,0.9764236807823181
1,1,0.9453505873680115
1,1,0.9985175728797913
0,0,0.003917533904314041
0,0,4.771221210830845e-05
0,0,0.014446732588112354
0,0,4.771412568516098e-05
0,0,0.0013060574419796467
0,0,0.00042145533370785415
0,0,0.00021818857931066304
0,0,0.2234264314174652
